episode,total_reward
521,74.6613636369
522,74.6328115501
523,74.6208472656
524,74.6610875695
525,74.6295807982
526,74.6543538674
527,74.6561837066
528,74.6326887036
529,74.6445981498
530,71.977106868
531,71.9059656351
532,71.9920896278
533,71.9895310641
534,74.6601373822
535,72.0019309624
536,71.9857311065
537,72.0186315463
538,74.6444919581
539,71.8953833088
540,71.9070012138
541,74.6525598044
542,74.6528844866
543,74.6266281665
544,74.6901757624
545,71.921899476
546,71.8992858634
547,74.6184510165
548,71.9223418686
549,74.6167952279
550,74.622640833
551,74.6612389096
552,72.0239595778
553,74.6343664067
554,74.4873613648
555,74.6746829207
556,74.6501265502
557,74.6046905667
558,74.6359914568
559,71.9940543875
560,74.4645141754
561,74.1915285578
562,71.7522009906
563,71.5909892887
564,66.271702541
565,173.657107967
566,83.3146858781
567,83.4405149771
568,83.4667373008
569,82.7330934552
570,83.3975576714
571,83.339273966
572,83.1569594185
573,83.0347250941
574,83.4788711611
575,83.3302055157
576,82.9735588556
577,83.1337893638
578,83.3038060675
579,83.4174865824
580,83.3452817921
581,83.3651129216
582,83.2758203889
583,83.1435053959
584,83.3137493774
585,83.2182016032
586,83.3490793782
587,80.6762950548
588,83.1611162836
589,83.1307750601
590,83.4914488724
591,83.4349008649
592,83.3911503406
593,83.4638562077
594,83.2672231357
595,83.4270581658
596,80.5329341253
597,182.755321186
598,177.266776054
599,102.84354128
600,105.189257819
601,98.7714199394
602,71.11332683
603,169.426133047
604,80.6735902538
605,75.0222116554
606,83.1247781721
607,83.3843872659
608,83.2103770943
609,83.4664035202
610,83.3726148482
611,83.2529764649
612,83.4065370764
613,83.1215161431
614,83.3353811488
615,83.1416242527
616,83.3819048779
617,83.4538749283
618,83.2879299886
619,83.3333372766
620,83.0749933125
621,83.209741628
622,83.367173901
623,83.3374118051
624,83.4501454252
625,83.4206870499
626,83.1836752952
627,80.8081569312
628,83.0976768256
629,83.0032766275
630,83.1443148631
631,83.3850944409
632,80.4858444481
633,83.186699395
634,83.338279901
635,83.1188195389
636,83.0787313286
637,83.3228430008
638,83.4320621373
639,83.3478163238
640,83.3962067647
641,83.2424980425
642,83.1395666571
643,83.2323373673
644,82.3352226088
645,76.5163090568
646,74.8448423418
647,81.2314075554
648,80.9086650438
649,74.9839150144
650,74.9617088365
651,81.068453478
652,83.5216199753
653,74.9707453333
654,75.084281275
655,75.0829763053
656,76.3306791711
657,76.3805294299
658,76.4692376722
659,73.3937715505
660,71.489171884
661,76.3296445254
662,65.9011913994
663,70.4208351395
664,76.3825833452
665,82.8626102359
666,83.0629573147
667,83.1106465694
668,83.3395918749
669,83.2889645316
670,83.2667006781
671,83.1940648148
672,83.4095334235
673,83.4139958814
674,83.4689595951
675,83.3998266697
676,83.4084680699
677,83.2042658902
678,83.0801810768
679,83.4493450341
680,82.8873609923
681,80.7774261641
682,83.1015241424
683,83.4466008024
684,83.4241266105
685,83.3560002866
686,80.7169439968
687,83.5445456469
688,83.450135589
689,83.1012842958
690,82.9968390283
691,83.2612861041
692,83.2591875612
693,83.2553927192
694,83.3396947694
695,83.3000660262
696,83.4854441889
697,82.8802727295
698,83.4780265982
699,83.1615269538
700,83.362871262
701,83.2741433797
702,83.3296328106
703,83.3276354998
704,83.4107363201
705,83.2700149218
706,83.4588538558
707,83.0110159808
708,83.2640155241
709,83.0667433942
710,83.2107038744
711,83.4246854943
712,83.4505961562
713,82.7455881531
714,83.3028881378
715,82.8309057216
716,82.9680855295
717,83.4784092025
718,83.3562868351
719,83.3309194034
720,83.4217585508
721,83.137901317
722,83.2617380051
723,83.2695379423
724,83.4757487715
725,83.2616486936
726,83.4940173494
727,83.0881369304
728,83.3720333167
729,83.4869471183
730,83.1120574406
731,83.4833170955
732,83.4309291675
733,83.1267123618
734,83.4467038606
735,83.3318917361
736,82.6245774716
737,83.456383785
738,83.4146808784
739,83.4435641656
740,83.1512202361
741,83.4214907784
742,83.2228862148
743,83.279156999
744,83.2210365427
745,83.2828997578
746,83.4776335696
747,83.337068062
748,83.2827798007
749,83.1617677628
750,82.8120109486
751,83.2049786737
752,83.4283159635
753,83.4232513297
754,83.3472867343
755,83.3962683579
756,83.3946702476
757,83.246067152
758,83.1378988458
759,83.249039105
760,83.0611239439
761,83.1886335394
762,83.1239532653
763,83.4107513888
764,83.1986361829
765,83.3776238223
766,82.9466107427
767,83.1883197259
768,83.4651859528
769,83.4423752731
770,83.2325819705
771,82.9404881005
772,83.3264935325
773,83.327845805
774,83.0297907235
775,77.5834740214
776,171.610813378
777,82.0846775551
778,77.8074375695
779,81.8546701621
780,83.382727465
781,83.4545786776
782,82.9306610318
783,83.2722980493
784,83.4214791429
785,83.3969835619
786,83.3680925184
787,83.1922543342
788,83.3304508623
789,83.3730861146
790,81.9075765661
791,77.9404646071
792,80.7546925643
793,84.1629053511
794,77.8140038502
795,83.1861367508
796,83.222271561
797,83.2757826069
798,83.1559916516
799,83.3142312949
800,83.3400768927
801,83.3855053646
802,83.1837978465
803,83.3263268578
804,82.671905395
805,83.2569201989
806,83.4608266764
807,83.4211835139
808,82.9870156953
809,83.5226325635
810,83.4241846692
811,83.2382387751
812,83.273570672
813,82.7521510499
814,83.2500856018
815,83.4862732095
816,83.0148346559
817,83.1910048682
818,83.2191991778
819,83.2365432999
820,83.3861008182
821,82.9628694017
822,83.3909542746
823,83.3125677555
824,83.3961670409
825,83.4584764761
826,83.4398809695
827,83.4138988371
828,83.6674329634
829,175.505073575
830,175.71097661
831,66.1425299731
832,81.8684560125
833,68.8662843708
834,83.6747884689
835,177.819440901
836,171.136858043
837,173.599332195
838,179.973073648
839,168.508723347
840,170.793942088
841,170.763508393
842,173.755486728
843,178.294485005
844,166.138695278
845,174.159604841
846,79.5451830858
847,76.6765468377
848,77.0105803648
849,81.7968035623
850,81.7088777317
851,81.6271174201
852,81.6883000163
853,81.7348874809
854,81.8239939153
855,81.8653903025
856,84.3591742297
857,81.7496614454
858,81.70553978
859,81.613518253
860,81.8105571353
861,81.7434311307
862,81.7457073362
863,81.6494485718
864,81.7281440825
865,81.74674179
866,81.7556903018
867,81.8437552661
868,81.7597758709
869,81.7429637492
870,81.7327467216
871,81.720604437
872,81.7820969798
873,81.6775017261
