time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.38890053975e-07,-4.11163775276e-08,10.0013117615,6.28311902719,0.000251932186452,0.0,-2.07944430203e-05,-4.38410035352e-06,0.0437242597379,-0.00341114277451,0.0114957563746,0.0,419.1119226979764,420.10963135776365,417.8653577044657,417.5679704147981
0.12000000000000001,-1.06857116301e-05,-2.58860004551e-06,10.0079677751,6.28288178466,0.0016265309898,0.0,-0.000444883707345,-0.000104172861517,0.178130567494,-0.00506263244311,0.0392961828345,0.0,446.40994419490454,448.6723419317563,447.90484536274084,447.77061414323856
0.18,-7.9013076521e-05,-1.56885601603e-05,10.0211238284,6.28293612168,0.00410964452667,0.0,-0.00207351114562,-0.000342809302001,0.26038815289,0.010757245508,0.0452652879377,0.0,432.0995267034478,432.60331203227986,429.5337869894279,430.87307261163147
0.23999999999999996,-0.000296750772142,-3.89242953308e-05,10.0393227056,0.000330564520325,0.00682239363245,0.0,-0.00545550287977,-0.000370411755872,0.34621700783,0.00737782943784,0.0451067030357,0.0,432.540879494436,432.5287730102145,432.5447253665509,432.2599626942143
0.3,-0.000783706712129,-5.21049590797e-05,10.0641354455,0.000335259880567,0.0100738523589,0.0,-0.011099842506,-3.75823090824e-05,0.480824112916,-0.0214445548905,0.0679900433744,0.0,446.86819702911356,448.7312017336923,449.16891158413875,446.825757129854
0.36000000000000004,-0.00170038836431,-5.11454108182e-05,10.0984835246,6.2828867703,0.0140164481497,0.0,-0.0199143277014,-3.34343584873e-05,0.664017601045,0.00525736633108,0.0607104786495,0.0,463.3446857648183,462.7751198002637,461.5440737782368,463.64644732110077
0.4200000000000001,-0.00317413920421,-5.77395807912e-05,10.1396466994,6.28315499895,0.0172524297301,0.0,-0.0295379244163,-0.000158967519788,0.708056574389,0.00284825625304,0.0347824081291,0.0,420.6226779392149,418.373542880344,419.12453120928495,418.9150484252675
0.48000000000000015,-0.00534704226684,-6.68912483194e-05,10.1871456477,0.000442417901039,0.0198188057572,0.0,-0.0431545820356,-0.000108356075194,0.875123356038,0.0164078610756,0.0552568536607,0.0,458.249588304684,459.87491537373705,456.91310116771,457.9925962973969
0.5400000000000001,-0.00837500878936,-5.99767443974e-05,10.2434652554,0.00143187703038,0.0229529970339,0.0,-0.0581182951027,0.000443381893291,1.00208621545,0.0166567093353,0.0453864181425,0.0,446.27874434949535,445.4742074193997,446.54155600912947,446.5617644389011
0.6000000000000002,-0.0123168221137,-2.06145734145e-06,10.3053138608,0.00239271564001,0.0255758284275,0.0,-0.0735304406755,0.00158085529432,1.05947550082,0.014696563387,0.0401404469618,0.0,424.2231822877911,423.77371189238164,424.5998582599617,424.43160274292643
0.6600000000000003,-0.0172454588579,0.000143622996577,10.3710780054,0.00283527169359,0.0276284830389,0.0,-0.0909783687484,0.00334684886191,1.13258607835,-0.0142471712652,0.0184251684279,0.0,430.2783345523884,428.4367166361567,430.8786552310757,428.42499184021295
0.7200000000000003,-0.0233181065609,0.000403925862632,10.4434172299,0.00237547547337,0.0288639799954,0.0,-0.111567050862,0.0052606727009,1.27856507484,0.00302008652702,0.0246058078971,0.0,452.0243232469667,452.5220423184002,452.2974830567416,453.68594983509655
0.7800000000000004,-0.0306204790887,0.000769728858949,10.5233284702,0.00242034636106,0.0305935671612,0.0,-0.132008395753,0.00694453889983,1.38501382978,-0.00423574287532,0.0361549699537,0.0,440.26367009743217,441.21834077055075,440.9102423929531,440.31042685807483
0.8400000000000004,-0.039231486314,0.00123926122865,10.611032907,0.00176425241135,0.0324447297405,0.0,-0.155243845301,0.00866202395249,1.53826531794,-0.0297633804138,0.0172821659663,0.0,456.42316154666275,454.91487414617166,456.32076869806514,454.2786693038574
0.9000000000000005,-0.0492435775012,0.00178989189224,10.7070099651,0.000266935581817,0.0337542825772,0.0,-0.178612603613,0.00952065255743,1.66079441187,-0.0167512149354,0.0296398920179,0.0,446.8250948659039,447.8313332514342,445.024456432364,446.0880588536798
0.9600000000000005,-0.0607204530862,0.00236283210307,10.8112756864,6.28224917571,0.0354478798688,0.0,-0.204133859614,0.00945704248344,1.81448972382,-0.0276379692455,0.0252391546554,0.0,455.1011044902318,454.7489493124222,458.36677199232486,457.5008681779344
1.0200000000000005,-0.0736405973422,0.00290721227098,10.9212666173,6.28007132266,0.0370090829194,0.0,-0.226679098399,0.00852236428311,1.85180761528,-0.0656522182262,0.0275376004051,0.0,419.805986871105,420.0055420019041,421.72463117785765,418.42737041370236
1.0800000000000005,-0.0879902054023,0.00334148680021,11.0347471822,6.27598534287,0.0386976085857,0.0,-0.251802649932,0.00555772849116,1.93073749224,-0.073505835763,0.0293242900163,0.0,433.8706143277738,434.020816891571,433.8183553396488,433.15479234785437
1.1400000000000006,-0.103824947035,0.0035262850096,11.1515102323,6.27186333055,0.0403442555895,0.0,-0.276177873383,0.000212671579875,1.96130031923,-0.0605025662689,0.0233910192546,0.0,418.94698119825705,418.4310360690319,417.18472089476586,418.3145383928515
1.2000000000000006,-0.121290480668,0.00327582803631,11.2735111877,6.2686065989,0.0419042941471,0.0,-0.306159061042,-0.00892914639399,2.10512971598,-0.0440825890128,0.0307659696013,0.0,454.08853408615175,454.6798462773345,453.9880336763486,455.3015676998029
